Kode	Uraian	Satuan	 Harga 
M.212	Ubin Abu-abu Uk. 60x60cm	Buah	 Rp41,300 
M.213	Ubin Granit Uk. 30x30cm	Buah	 Rp55,800 
M.214	Ubin Granit Uk. 40x40cm	Buah	 Rp67,600 
M.215	Ubin Granit Uk. 60x60cm	Buah	 Rp81,700 
M.216	Ubin Warna Uk. 20x20cm	Buah	 Rp17,300 
M.217	Ubin Warna Uk. 30x30cm	Buah	 Rp43,200 
M.218	Ubin Warna Uk. 40x40cm	Buah	 Rp93,900 
M.219	Ubin Warna Uk. 60x60cm	Buah	 Rp275,900 
M.220	Plint Ubin Warna Uk. 20cm	Buah	 Rp4,800 
M.221	Plint Ubin Warna Uk. 30cm	Buah	 Rp7,200 
M.222	Plint Ubin Warna Uk. 40cm	Buah	 Rp10,700 
M.223	Plint Ubin Warna Uk. 60cm	Buah	 Rp20,400 
M.224	Ubin Porselen 20x20cm	Buah	 Rp4,100 
M.225	Ubin Teralux Kerang Uk. 30cm	Buah	 Rp20,800 
M.226	Ubin Teralux Kerang Uk. 40cm	Buah	 Rp43,100 
M.227	Ubin Teralux Kerang Uk. 60cm	Buah	 Rp107,000 
M.228	Ubin Teralux Marmer Uk. 30x30cm	Buah	 Rp33,900 
M.229	Ubin Teralux Marmer Uk. 40x40cm	Buah	 Rp81,100 
M.230	Ubin Teralux Marmer Uk. 60x60cm	Buah	 Rp208,800 
M.231	Ubin Teraso Uk. 30x30cm	Buah	 Rp45,200 
M.232	Ubin Teraso Uk. 40x40cm	Buah	 Rp96,800 
M.233	Ramset	Buah	 Rp65,300 
M.234	Rangka Aluminium	m1	 Rp23,900 
M.235	Rooflight Uk. 90x180cm	Lbr	 Rp380,500 
M.236	Seng Gel 3”x6”	Lbr	 Rp78,800 
M.237	Seng Gelombang	Lbr	 Rp78,800 
M.238	Seng Gelombang BJLS-30 (t=0.05)0.9mx1.8 m1	Lbr	 Rp78,800 
M.239	Sanding	Kg	 Rp31,300 
M.240	Seng Pelat	m1	 Rp77,900 
M.241	Seng Pelat	Lbr	 Rp58,400 
M.242	Seng pelat 3’x6’ 90x180cm	Lbr	 Rp70,600 
M.243	Seng Pelat 3”x6” BJLS28	Lbr	 Rp85,400 
M.244	Serat Semen	m2	 Rp99,500 
M.245	Serat Semen Lebar 20cm	m1	 Rp84,200 
M.246	Serat Semen Lebar 30cm	m1	 Rp95,600 
