1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
2.2.1.4.5	Pek. 1 m3 Beton Mutu Rendah F'c 20 MPa. Slump 100 ± 25mm Agregat Maks 19mm Secara Manual					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	1.6500	 152,900.00 	 252,285.00 
	 Tukang Batu	 L.02	OH	0.2750	 178,600.00 	 49,115.00 
	 Kepala Tukang	 L.03	OH	0.0280	 204,300.00 	 5,720.40 
	 Mandor	 L.04	OH	0.0090	 230,000.00 	 2,070.00 
				 JUMLAH HARGA TENAGA KERJA		 309,190.40 
B	 BAHAN					  
	 Semen Portland	M.33	Kg	348.000	 1,600.00 	 556,800.00 
	 Pasir Beton	M.25	Kg	790.000	 200.00 	 158,000.00 
	 Kerikil (Maks 19mm)	M.21	Kg	1009.000	 200.00 	 201,800.00 
	 Air	M.1	Ltr	202.000	 200.00 	 40,400.00 
				 JUMLAH HARGA BAHAN		 957,000.00 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 1,266,190.40 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 1,266,190.40 
						
						
2.2.2.1.10	Pek. Pemasangan 1 m3 Pondasi Batu Belah Campuran 1 SP : 6 PP Cara Manual					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran SDA P.01.e.1.a					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	1.5000	 152,900.00 	 229,350.00 
	 Tukang Batu	L.02	OH	0.5000	 178,600.00 	 89,300.00 
	 Mandor	L.04	OH	0.1500	 230,000.00 	 34,500.00 
				 JUMLAH HARGA TENAGA KERJA		 353,150.00 
B	 BAHAN					  
	 Batu Belah	M.16	m3	1.200	 419,500.00 	 503,400.00 
	 Semen Portland	M.33	Kg	117.000	 1,600.00 	 187,200.00 
	 Pasir Pasang	M.28	m3	0.561	 149,200.00 	 83,701.20 
				 JUMLAH HARGA BAHAN		 774,301.20 
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 1,127,451.20 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 1,127,451.20 
						
2.2.2.1.1	Pek. Pemasangan 1 m3 Batu Kosong (Aanstamping) untuk Pondasi Gedung					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.7800	 152,900.00 	 119,262.00 
	 Tukang Batu	L.02	OH	0.3900	 178,600.00 	 69,654.00 
	 Kepala Tukang	L.03	OH	0.0390	 204,300.00 	 7,967.70 
	 Mandor	L.04	OH	0.0130	 230,000.00 	 2,990.00 
				 JUMLAH HARGA TENAGA KERJA		 199,873.70 
B	 BAHAN					  
	 Batu Belah	M.16	m3	1.200	 419,500.00 	 503,400.00 
	 Pasir Urug	M.27	m3	0.432	 194,700.00 	 84,110.40 
				 JUMLAH HARGA BAHAN		 587,510.40 
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 787,384.10 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 787,384.10 
						
						
2.2.1.1.3	Pek. 1 Kg Penulangan Kolom, Balok, Ring Balok, & Sloof untuk BjTP atau BjTS Dia. <12mm Cara Manual					
	Lihat Permen PUPR No 8 Tahun 2023 Lampiran B U.4.6.a.3 (a)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
